,Fecha Hora,Fecha Hora(RAW),Tiempo de carga en mseg,Tiempo de carga(RAW),Porcentaje de tiempo de inactividad,Tiempo de inactividad(RAW),Porcentaje de cobertura,Cobertura(RAW)
113,18-06-2023 17:00:00 - 18:00:00,45095.9166666667,836,835.95,0 ,0.0,100 ,10000.0
114,18-06-2023 18:00:00 - 19:00:00,45095.9583333333,850,850.0167,0 ,0.0,100 ,10000.0
115,18-06-2023 19:00:00 - 20:00:00,45096.0,850,849.6667,0 ,0.0,100 ,10000.0
116,18-06-2023 20:00:00 - 21:00:00,45096.0416666667,852,851.9667,0 ,0.0,100 ,10000.0
117,18-06-2023 21:00:00 - 22:00:00,45096.0833333333,847,846.8,0 ,0.0,100 ,10000.0
118,18-06-2023 22:00:00 - 23:00:00,45096.125,850,849.8667,0 ,0.0,100 ,10000.0
119,18-06-2023 23:00:00 - 0:00:00,45096.1666666667,838,838.3333,0 ,0.0,100 ,10000.0
120,19-06-2023 0:00:00 - 1:00:00,45096.2083333333,842,841.9167,0 ,0.0,100 ,10000.0
121,19-06-2023 1:00:00 - 2:00:00,45096.25,995,995.1667,0 ,0.0,100 ,10000.0
122,19-06-2023 2:00:00 - 3:00:00,45096.2916666667,888,887.8167,0 ,0.0,100 ,10000.0
123,19-06-2023 3:00:00 - 4:00:00,45096.3333333333,836,835.9167,0 ,0.0,100 ,10000.0
124,19-06-2023 4:00:00 - 5:00:00,45096.375,845,845.1333,0 ,0.0,100 ,10000.0
125,19-06-2023 5:00:00 - 6:00:00,45096.4166666667,843,843.2667,0 ,0.0,100 ,10000.0
126,19-06-2023 6:00:00 - 7:00:00,45096.4583333333,840,840.3,0 ,0.0,100 ,10000.0
127,19-06-2023 7:00:00 - 8:00:00,45096.5,839,838.9,0 ,0.0,100 ,10000.0
128,19-06-2023 8:00:00 - 9:00:00,45096.5416666667,843,842.7667,0 ,0.0,100 ,10000.0
129,19-06-2023 9:00:00 - 10:00:00,45096.5833333333,845,844.9,0 ,0.0,100 ,10000.0
130,19-06-2023 10:00:00 - 11:00:00,45096.625,851,850.5667,0 ,0.0,100 ,10000.0
131,19-06-2023 11:00:00 - 12:00:00,45096.6666666667,872,871.7966,0 ,0.0,100 ,10000.0
132,19-06-2023 12:00:00 - 13:00:00,45096.7083333333,856,855.9667,0 ,0.0,100 ,10000.0
133,19-06-2023 13:00:00 - 14:00:00,45096.75,1.109,1109.4667,0 ,0.0,100 ,10000.0
134,19-06-2023 14:00:00 - 15:00:00,45096.7916666667,846,846.1167,0 ,0.0,100 ,10000.0
135,19-06-2023 15:00:00 - 16:00:00,45096.8333333333,855,854.95,0 ,0.0,100 ,10000.0
136,19-06-2023 16:00:00 - 17:00:00,45096.875,872,872.0667,0 ,0.0,100 ,10000.0
137,19-06-2023 17:00:00 - 18:00:00,45096.9166666667,843,842.7333,0 ,0.0,100 ,10000.0
138,19-06-2023 18:00:00 - 19:00:00,45096.9583333333,977,976.7167,0 ,0.0,100 ,10000.0
139,19-06-2023 19:00:00 - 20:00:00,45097.0,854,853.6833,0 ,0.0,100 ,10000.0
140,19-06-2023 20:00:00 - 21:00:00,45097.0416666667,852,852.2833,0 ,0.0,100 ,10000.0
141,19-06-2023 21:00:00 - 22:00:00,45097.0833333333,849,848.9667,0 ,0.0,100 ,10000.0
142,19-06-2023 22:00:00 - 23:00:00,45097.125,855,855.2,0 ,0.0,100 ,10000.0
143,19-06-2023 23:00:00 - 0:00:00,45097.1666666667,865,865.3667,0 ,0.0,100 ,10000.0
144,20-06-2023 0:00:00 - 1:00:00,45097.2083333333,850,850.0,0 ,0.0,100 ,10000.0
145,20-06-2023 1:00:00 - 2:00:00,45097.25,872,872.0,0 ,0.0,100 ,10000.0
